review,sentiment
Really good service,positive
Worst product ever,negative
Average experience,neutral
I love this product,positive
Terrible quality,negative
"Not bad, not great",neutral
Very happy with this,positive
Very bad experience,negative
Fair enough,neutral
Really good service,positive
Terrible quality,negative
Fair enough,neutral
Absolutely fantastic,positive
Very bad experience,negative
It is okay,neutral
Superb quality,positive
Not worth the money,negative
"Not bad, not great",neutral
Superb quality,positive
Very poor service,negative
Decent but not amazing,neutral
Best purchase ever,positive
I hate this,negative
Fair enough,neutral
Amazing experience,positive
Very bad experience,negative
Okay product,neutral
Works perfectly,positive
Worst product ever,negative
Could be better,neutral
Highly recommended,positive
Waste of time,negative
Fair enough,neutral
Best purchase ever,positive
Completely disappointed,negative
It works fine,neutral
Exceeded expectations,positive
Terrible quality,negative
Decent but not amazing,neutral
Really good service,positive
I hate this,negative
Okay product,neutral
Superb quality,positive
Completely disappointed,negative
Just normal,neutral
Absolutely fantastic,positive
Not worth the money,negative
Nothing special,neutral
Superb quality,positive
Worst product ever,negative
Okay product,neutral
Very happy with this,positive
Very poor service,negative
It works fine,neutral
Exceeded expectations,positive
Awful experience,negative
It works fine,neutral
Very happy with this,positive
Terrible quality,negative
Fair enough,neutral
Best purchase ever,positive
I hate this,negative
"Not bad, not great",neutral
Amazing experience,positive
Waste of time,negative
Nothing special,neutral
Superb quality,positive
Not worth the money,negative
Just normal,neutral
Absolutely fantastic,positive
Terrible quality,negative
Decent but not amazing,neutral
Amazing experience,positive
Very poor service,negative
It works fine,neutral
Really good service,positive
Not worth the money,negative
Fair enough,neutral
Superb quality,positive
Very bad experience,negative
Nothing special,neutral
Amazing experience,positive
Awful experience,negative
Could be better,neutral
Very happy with this,positive
Do not buy this,negative
Nothing special,neutral
Works perfectly,positive
Very bad experience,negative
Okay product,neutral
Really good service,positive
Awful experience,negative
"Not bad, not great",neutral
Really good service,positive
I hate this,negative
Average experience,neutral
Highly recommended,positive
Very poor service,negative
Nothing special,neutral
Absolutely fantastic,positive
Terrible quality,negative
Average experience,neutral
I love this product,positive
Waste of time,negative
Okay product,neutral
Exceeded expectations,positive
Terrible quality,negative
Just normal,neutral
Very happy with this,positive
Waste of time,negative
It is okay,neutral
Exceeded expectations,positive
Not worth the money,negative
Average experience,neutral
Superb quality,positive
I hate this,negative
Could be better,neutral
Amazing experience,positive
Very poor service,negative
It works fine,neutral
Absolutely fantastic,positive
Not worth the money,negative
Could be better,neutral
Works perfectly,positive
I hate this,negative
Just normal,neutral
Absolutely fantastic,positive
Do not buy this,negative
Average experience,neutral
Really good service,positive
Do not buy this,negative
It works fine,neutral
Highly recommended,positive
Not worth the money,negative
Okay product,neutral
Very happy with this,positive
Very bad experience,negative
Fair enough,neutral
Absolutely fantastic,positive
Very poor service,negative
Average experience,neutral
Very happy with this,positive
Very bad experience,negative
Could be better,neutral
Very happy with this,positive
I hate this,negative
Nothing special,neutral
Amazing experience,positive
Awful experience,negative
Okay product,neutral
Best purchase ever,positive
Not worth the money,negative
